filename,match_score
25067742.pdf,83.10236930847168
10333299.pdf,79.89019870758057
11444536.pdf,77.5406265258789
33964275.pdf,77.43796348571777
14126433.pdf,77.22940921783447
26069113.pdf,77.20656394958496
29772450.pdf,77.0755386352539
20345168.pdf,76.63323402404785
94230796.pdf,76.03450298309326
18805506.pdf,74.65247631072998
74552449.pdf,74.45707321166992
22182279.pdf,73.9662218093872
66226673.pdf,73.59799861907959
27573855.pdf,73.4562635421753
26065877.pdf,73.45090866088867
98559931.pdf,72.49293327331543
27715131.pdf,71.64591789245605
19374660.pdf,71.14043712615967
16594812.pdf,71.13394260406494
17407184.pdf,70.63552856445312
30361788.pdf,70.60847759246826
62555739.pdf,70.41696548461914
21869994.pdf,70.33792495727539
17556527.pdf,70.0728988647461
10909673.pdf,69.8196029663086
19285236.pdf,69.1153621673584
19724031.pdf,68.74614238739014
15289348.pdf,67.5474739074707
25749150.pdf,67.54102230072021
15261348.pdf,67.24042415618896
12155206.pdf,67.11516857147217
29072179.pdf,67.06851959228516
30311202.pdf,66.86020374298096
54421668.pdf,66.5510892868042
13701259.pdf,66.37600898742676
26673507.pdf,66.36345386505127
47603843.pdf,66.19209289550781
18635654.pdf,66.0865068435669
13491889.pdf,66.04808807373047
19831366.pdf,65.88635444641113
65864767.pdf,65.43012142181396
11163645.pdf,65.30889511108398
23841877.pdf,65.18617630004883
24349611.pdf,65.15378952026367
32794700.pdf,64.78519439697266
20691949.pdf,64.58186626434326
33286293.pdf,64.52167510986328
36379931.pdf,64.10398006439209
20488267.pdf,63.819594383239746
15856762.pdf,63.81528377532959
47317494.pdf,63.63896369934082
27637576.pdf,63.511199951171875
81373857.pdf,63.20086479187012
25780596.pdf,62.71252632141113
24061629.pdf,62.460570335388184
27024099.pdf,62.37797737121582
21645690.pdf,62.20247745513916
36425270.pdf,62.062721252441406
14663897.pdf,61.878318786621094
26189601.pdf,61.83030128479004
20321582.pdf,61.717987060546875
16300459.pdf,61.452813148498535
16804396.pdf,61.117258071899414
15592167.pdf,60.82877159118652
35554162.pdf,60.77167987823486
38115035.pdf,60.596580505371094
25624652.pdf,60.4227352142334
3547447.pdf,60.40656566619873
27884470.pdf,60.03470420837402
14391434.pdf,59.44356441497803
27606527.pdf,59.30166244506836
16855929.pdf,58.99359703063965
25926667.pdf,58.77640724182129
25923361.pdf,58.7626838684082
83338413.pdf,58.435893058776855
12065211.pdf,58.331594467163086
96493528.pdf,58.327813148498535
65373280.pdf,57.90684700012207
13072019.pdf,57.88402557373047
99124477.pdf,57.78103828430176
20356750.pdf,57.63782501220703
15180322.pdf,57.4235725402832
16066857.pdf,57.29557991027832
13272204.pdf,57.2564697265625
22800977.pdf,57.13085651397705
10329506.pdf,57.05585956573486
18106533.pdf,56.59024715423584
12386670.pdf,56.584835052490234
46055835.pdf,56.21781349182129
23416654.pdf,56.14001750946045
28939941.pdf,55.858421325683594
29839396.pdf,55.60751438140869
21794875.pdf,55.49976825714111
28895997.pdf,55.06766319274902
78403342.pdf,54.70503807067871
41651672.pdf,54.45389270782471
92122785.pdf,53.69093418121338
15306049.pdf,53.683576583862305
29148871.pdf,53.66962432861328
28230807.pdf,53.48158836364746
28051330.pdf,53.473711013793945
19508520.pdf,53.38820934295654
45167858.pdf,53.2546329498291
38309905.pdf,53.17239284515381
17103172_rishi_singhal_id_dp(1) - Rishi Singhal.pdf,53.168087005615234
39674178.pdf,53.16086769104004
36019469.pdf,53.06802749633789
69243180.pdf,52.811641693115234
57262959.pdf,52.51591682434082
21796843.pdf,52.51469612121582
36758947.pdf,52.41575241088867
25080805.pdf,52.37678527832031
25867805.pdf,52.33543395996094
13982572.pdf,52.27208614349365
30813919.pdf,52.0246696472168
87635012.pdf,51.97694778442383
73030450.pdf,51.42316818237305
87867370.pdf,51.3051700592041
99033098.pdf,51.28335475921631
18369400.pdf,51.16825580596924
31547476.pdf,51.06581687927246
20149476.pdf,50.767927169799805
15354126.pdf,24.921104907989502
43685045.pdf,24.854106903076172
